home_geo_id,work_geo_id,commuter_count,net_commute_flow,data_year,source
2.40276E+11,2,81,-458,2022,LEHD LODES8 OD
2.40276E+11,3,22,-458,2022,LEHD LODES8 OD
2.40276E+11,4,32,-458,2022,LEHD LODES8 OD
2.40276E+11,5,12,-458,2022,LEHD LODES8 OD
2.40276E+11,6,12,-458,2022,LEHD LODES8 OD
2.40276E+11,7,0,-458,2022,LEHD LODES8 OD
2.40276E+11,1,330,-412,2022,LEHD LODES8 OD
2.40276E+11,2,44,-412,2022,LEHD LODES8 OD
2.40276E+11,3,26,-412,2022,LEHD LODES8 OD
2.40276E+11,4,8,-412,2022,LEHD LODES8 OD
2.40276E+11,6,0,-412,2022,LEHD LODES8 OD
2.40276E+11,7,4,-412,2022,LEHD LODES8 OD
2.40276E+11,1,611,-708,2022,LEHD LODES8 OD
2.40276E+11,2,43,-708,2022,LEHD LODES8 OD
2.40276E+11,3,18,-708,2022,LEHD LODES8 OD
2.40276E+11,4,22,-708,2022,LEHD LODES8 OD
2.40276E+11,5,6,-708,2022,LEHD LODES8 OD
2.40276E+11,6,8,-708,2022,LEHD LODES8 OD
2.40276E+11,1,595,-701,2022,LEHD LODES8 OD
2.40276E+11,2,80,-701,2022,LEHD LODES8 OD
2.40276E+11,3,8,-701,2022,LEHD LODES8 OD
2.40276E+11,4,6,-701,2022,LEHD LODES8 OD
2.40276E+11,5,0,-701,2022,LEHD LODES8 OD
2.40276E+11,6,12,-701,2022,LEHD LODES8 OD
2.40276E+11,1,347,-417,2022,LEHD LODES8 OD
2.40276E+11,2,64,-417,2022,LEHD LODES8 OD
2.40276E+11,3,2,-417,2022,LEHD LODES8 OD
2.40276E+11,4,4,-417,2022,LEHD LODES8 OD
2.40276E+11,6,0,-417,2022,LEHD LODES8 OD
2.40276E+11,7,0,-417,2022,LEHD LODES8 OD
2.40276E+11,8,0,-417,2022,LEHD LODES8 OD
2.40276E+11,1,581,-701,2022,LEHD LODES8 OD
2.40276E+11,10,0,-701,2022,LEHD LODES8 OD
2.40276E+11,13,0,-701,2022,LEHD LODES8 OD
2.40276E+11,2,78,-701,2022,LEHD LODES8 OD
2.40276E+11,3,29,-701,2022,LEHD LODES8 OD
2.40276E+11,4,8,-701,2022,LEHD LODES8 OD
2.40276E+11,5,1,-701,2022,LEHD LODES8 OD
2.40276E+11,7,4,-701,2022,LEHD LODES8 OD
2.40276E+11,9,0,-701,2022,LEHD LODES8 OD
2.40276E+11,1,337,-379,2022,LEHD LODES8 OD
2.40276E+11,2,16,-379,2022,LEHD LODES8 OD
2.40276E+11,3,22,-379,2022,LEHD LODES8 OD
2.40276E+11,4,3,-379,2022,LEHD LODES8 OD
2.40276E+11,5,1,-379,2022,LEHD LODES8 OD
2.40276E+11,6,0,-379,2022,LEHD LODES8 OD
2.40276E+11,1,498,-623,2022,LEHD LODES8 OD
